Sample Name,Target Cell Density,Hemocytometer,,,,,,Automated Cell Counter: Countess,,,,
 , ,Square Center,Square Upper Left,Square Upper Right,Square Lower Right,Square Lower Left,Cell Density (cells/mL),A ,B,Average Cell Density (cell/mL),Manual Error,Automated Error
6,1000000,77,59,61,50,71,1272000,1300000,1100000,1200000,0.272,0.2
5,100000,8,10,16,3,6,172000,150000,110000,130000,0.72,0.3
4,10000,1,2,1,0,1,20000,14000,35000,24500,1,1.45
3,1000,0,0,0,0,0,0,5000,10000,7500,1,6.5
2,100,0,0,0,0,0,0,0,0,0,1,1
1,10,0,0,0,0,0,0,0,0,0,1,1
,,,,,,,,,,,,
,,Target Density,Automated Count,Hemocytometer Count,,,,Automated Error,Hemocytometer Error,,,
,1000000,1000000,1200000,1272000,,,1000000,0.2,0.272,,,
,100000,100000,130000,172000,,,100000,0.3,0.72,,,
,10000,10000,24500,20000,,,10000,1.45,1,,,
,1000,1000,7500,0,,,1000,6.5,1,,,
,100,100,0,0,,,100,1,1,,,
,10,10,0,0,,,10,1,1,,,
,,,,,,,,,,,,
, ,,,,,,,,,,,
, ,,,,,,,,,,,
, ,,,,,,,,,,,
, ,,,,,,,,,,,
, ,,,,,,,,,,,
, ,,,,,,,,,,,
